cpu_percent,mem_percent,time_stamp
11.5,37.4,2020-10-20 21:58:36.070561
6.0,37.4,2020-10-20 21:58:36.407029
7.8,37.4,2020-10-20 21:58:36.740134
7.1,37.4,2020-10-20 21:58:37.074662
7.3,37.2,2020-10-20 21:58:37.418264
8.0,37.4,2020-10-20 21:58:37.744249
6.3,37.4,2020-10-20 21:58:38.082615
2.2,37.4,2020-10-20 21:58:38.420626
0.8,37.4,2020-10-20 21:58:38.748901
6.7,37.4,2020-10-20 21:58:39.083972
6.0,38.4,2020-10-20 22:00:38.018797
9.6,38.4,2020-10-20 22:00:38.358191
9.8,38.4,2020-10-20 22:00:38.687677
14.3,38.4,2020-10-20 22:00:39.028829
10.5,38.4,2020-10-20 22:00:39.359750
12.7,38.4,2020-10-20 22:00:39.696404
9.0,38.6,2020-10-20 22:00:40.029260
2.7,38.6,2020-10-20 22:00:40.361232
0.7,38.6,2020-10-20 22:00:40.698444
1.5,38.6,2020-10-20 22:00:41.026069
1.6,39.1,2020-10-20 22:04:08.582959
10.3,39.2,2020-10-20 22:04:08.917901
6.7,39.4,2020-10-20 22:04:09.252694
9.5,39.4,2020-10-20 22:04:09.587912
8.9,39.3,2020-10-20 22:04:09.922248
8.6,39.3,2020-10-20 22:04:10.257988
8.7,39.4,2020-10-20 22:04:10.593356
9.5,39.4,2020-10-20 22:04:10.927039
5.2,39.4,2020-10-20 22:04:11.262566
4.9,39.4,2020-10-20 22:04:11.597971
15.2,39.7,2020-10-20 22:04:47.794805
9.4,40.0,2020-10-20 22:04:48.123511
11.4,39.9,2020-10-20 22:04:48.466633
8.0,39.9,2020-10-20 22:04:48.798739
7.9,39.9,2020-10-20 22:04:49.135075
10.4,39.9,2020-10-20 22:04:49.469528
8.7,40.1,2020-10-20 22:04:49.800884
2.6,40.1,2020-10-20 22:04:50.136470
1.5,40.1,2020-10-20 22:04:50.471274
1.5,40.1,2020-10-20 22:04:50.802683
